cycle, line, pc, inst, gpio_8, gpio_9, gpio_10, gpio_12, gpio_16, gpio_17, irq, x, y, isr_bitctr, isr, osr_bitctr, osr, txfifo_num, txfifo[0], txfifo[1], txfifo[2], txfifo[3], rxfifo_num, rxfifo[0], rxfifo[1], rxfifo[2], rxfifo[3]
102, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
103, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
104, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
105, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
106, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
107, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
108, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
109, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
110, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 1, 0x00008001, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
111, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 1, 0x00008001, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
112, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 2, 0x00008001, 0x00008002, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
113, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 2, 0x00008001, 0x00008002, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
114, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 3, 0x00008001, 0x00008002, 0x00008003, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
115, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 3, 0x00008001, 0x00008002, 0x00008003, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
116, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 4, 0x00008001, 0x00008002, 0x00008003, 0x00008004, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
117, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 4, 0x00008001, 0x00008002, 0x00008003, 0x00008004, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
118, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 4, 0x00008001, 0x00008002, 0x00008003, 0x00008004, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
119, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 4, 0x00008001, 0x00008002, 0x00008003, 0x00008004, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
